"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
227,2017/11/30,09:44:05,1.882759E+01,2387,1266,-1,2,2387
228,2017/11/30,09:44:05,1.882759E+01,2399,1259,2,-2,2399
229,2017/11/30,09:44:05,1.882759E+01,2408,1254,1,-1,2408
230,2017/11/30,09:44:05,1.882759E+01,2415,1246,-2,-1,2415
231,2017/11/30,09:44:05,1.882759E+01,2414,1245,4,-2,2414
232,2017/11/30,09:44:05,1.882759E+01,2410,1251,15,-1,2410
233,2017/11/30,09:44:05,1.882759E+01,2408,1266,19,-2,2408
234,2017/11/30,09:44:05,1.882759E+01,2406,1280,12,-1,2406
235,2017/11/30,09:44:05,1.882759E+01,2404,1292,5,1,2404
236,2017/11/30,09:44:05,1.882759E+01,2405,1298,3,6,2405
237,2017/11/30,09:44:05,1.882759E+01,2399,1303,6,12,2399
238,2017/11/30,09:44:05,1.882759E+01,2396,1308,6,15,2396
239,2017/11/30,09:44:05,1.882759E+01,2395,1314,3,14,2395
240,2017/11/30,09:44:05,1.882759E+01,2396,1319,-1,7,2396
241,2017/11/30,09:44:05,1.882759E+01,2398,1319,-8,3,2398
242,2017/11/30,09:44:05,1.882759E+01,2392,1313,-9,0,2392
243,2017/11/30,09:44:05,1.882759E+01,2385,1302,-4,1,2385
244,2017/11/30,09:44:05,1.882759E+01,2384,1300,2,2,2384
245,2017/11/30,09:44:05,1.882759E+01,2383,1301,5,2,2383
246,2017/11/30,09:44:05,1.882759E+01,2382,1300,7,3,2382
247,2017/11/30,09:44:05,1.882759E+01,2375,1296,16,1,2375
248,2017/11/30,09:44:05,1.882759E+01,2360,1289,27,0,2360
249,2017/11/30,09:44:05,1.882759E+01,2352,1280,32,0,2352
250,2017/11/30,09:44:05,1.882759E+01,2346,1278,26,-1,2346
251,2017/11/30,09:44:05,1.882759E+01,2340,1274,15,-1,2340
252,2017/11/30,09:44:05,1.882759E+01,2337,1271,7,0,2337
253,2017/11/30,09:44:05,1.882759E+01,2331,1266,1,0,2331
254,2017/11/30,09:44:05,1.882759E+01,2335,1262,-4,1,2335
255,2017/11/30,09:44:05,1.882759E+01,2343,1264,-12,0,2343
256,2017/11/30,09:44:05,1.882759E+01,2357,1268,-20,0,2357
257,2017/11/30,09:44:05,1.882759E+01,2375,1277,-25,-1,2375
258,2017/11/30,09:44:05,1.882759E+01,2387,1287,-22,-1,2387
259,2017/11/30,09:44:05,1.882759E+01,2396,1297,-12,0,2396
260,2017/11/30,09:44:05,1.882759E+01,2405,1306,-2,-1,2405
261,2017/11/30,09:44:05,1.882759E+01,2413,1316,4,0,2413
262,2017/11/30,09:44:05,1.882759E+01,2424,1325,3,-1,2424
263,2017/11/30,09:44:05,1.882759E+01,2426,1335,1,0,2426
264,2017/11/30,09:44:05,1.882759E+01,2423,1341,2,2,2423
265,2017/11/30,09:44:05,1.882759E+01,2419,1343,5,9,2419
266,2017/11/30,09:44:05,1.882759E+01,2410,1340,8,18,2410
267,2017/11/30,09:44:05,1.882759E+01,2409,1336,12,25,2409
268,2017/11/30,09:44:05,1.882759E+01,2408,1332,16,28,2408
269,2017/11/30,09:44:05,1.882759E+01,2398,1328,22,27,2398
270,2017/11/30,09:44:05,1.882759E+01,2391,1323,30,21,2391
271,2017/11/30,09:44:05,1.882759E+01,2380,1320,34,14,2380
272,2017/11/30,09:44:05,1.882759E+01,2373,1322,31,9,2373
273,2017/11/30,09:44:05,1.882759E+01,2373,1340,25,4,2373
274,2017/11/30,09:44:05,1.882759E+01,2362,1393,25,0,2362
275,2017/11/30,09:44:05,1.882759E+01,2348,1469,24,-1,2348
276,2017/11/30,09:44:05,1.882759E+01,2329,1557,14,-2,2329
277,2017/11/30,09:44:05,1.882759E+01,2317,1645,-6,-2,2317
278,2017/11/30,09:44:05,1.882759E+01,2317,1736,-25,-2,2317
279,2017/11/30,09:44:05,1.882759E+01,2317,1864,-36,-1,2317
280,2017/11/30,09:44:05,1.882759E+01,2317,1975,-35,-2,2317
281,2017/11/30,09:44:05,1.882759E+01,2322,2078,-25,-2,2322
282,2017/11/30,09:44:05,1.882759E+01,2325,2170,-11,-2,2325
283,2017/11/30,09:44:05,1.882759E+01,2343,2230,8,-1,2343
284,2017/11/30,09:44:05,1.882759E+01,2366,2274,36,7,2366
285,2017/11/30,09:44:05,1.882759E+01,2385,2316,84,23,2385
286,2017/11/30,09:44:05,1.882759E+01,2400,2366,135,35,2400
287,2017/11/30,09:44:05,1.882759E+01,2407,2429,201,42,2429
288,2017/11/30,09:44:05,1.882759E+01,2406,2488,280,40,2488
289,2017/11/30,09:44:05,1.882759E+01,2393,2519,364,27,2519
290,2017/11/30,09:44:05,1.882759E+01,2364,2525,435,15,2525
291,2017/11/30,09:44:05,1.882759E+01,2341,2534,511,4,2534
292,2017/11/30,09:44:05,1.882759E+01,2316,2559,575,0,2559
293,2017/11/30,09:44:05,1.882759E+01,2289,2597,645,-1,2597
294,2017/11/30,09:44:05,1.882759E+01,2256,2636,712,-1,2636
295,2017/11/30,09:44:05,1.882759E+01,2216,2674,766,-2,2674
296,2017/11/30,09:44:05,1.882759E+01,2168,2710,824,-1,2710
297,2017/11/30,09:44:05,1.882759E+01,2127,2713,919,1,2713
298,2017/11/30,09:44:05,1.882759E+01,2092,2706,997,6,2706
299,2017/11/30,09:44:05,1.882759E+01,2055,2708,1072,16,2708
300,2017/11/30,09:44:05,1.882759E+01,2017,2730,1123,28,2730
301,2017/11/30,09:44:05,1.882759E+01,1973,2754,1166,40,2754
302,2017/11/30,09:44:05,1.882759E+01,1915,2753,1192,44,2753
303,2017/11/30,09:44:05,1.882759E+01,1857,2727,1221,44,2727
304,2017/11/30,09:44:05,1.882759E+01,1798,2709,1245,44,2709
305,2017/11/30,09:44:05,1.882759E+01,1728,2713,1277,46,2713
306,2017/11/30,09:44:05,1.882759E+01,1662,2736,1296,46,2736
307,2017/11/30,09:44:05,1.882759E+01,1588,2763,1304,44,2763
